Name,Global_Sales
Madden NFL 16,3.24
Gran Turismo 6,3.23
Halo: The Master Chief Collection,3.23
007: Tomorrow Never Dies,3.21
Super Mario Maker,3.21
WWF SmackDown! 2: Know Your Role,3.2
Baseball,3.2
Killer Instinct,3.2
Dragon Quest VI: Maboroshi no Daichi,3.19
God of War: Chains of Olympus,3.18
Enter the Matrix,3.18
Crisis Core: Final Fantasy VII,3.18
Dance Central,3.17
L.A. Noire,3.17
Ace Combat 04: Shattered Skies,3.17
Animal Crossing,3.15
FIFA Soccer 08,3.14
Club Penguin: Elite Penguin Force,3.14
Spider-Man,3.13
Mario Party 9,3.13
Need for Speed III: Hot Pursuit,3.12
Star Wars Episode I Racer,3.12
Sonic Rush,3.12
Dragon Warrior IV,3.12
Rhythm Heaven,3.11
Fallout: New Vegas,3.11
Personal Trainer: Cooking,3.11
The Elder Scrolls IV: Oblivion,3.1
The Legend of Zelda: A Link Between Worlds,3.1
Resident Evil 6,3.1
Mass Effect 2,3.1
Dragon Ball Z: Budokai,3.09
Madden NFL 2002,3.08
World Class Track Meet,3.08
Donkey Kong,3.07
The Sims: Vacation,3.07
LEGO Batman: The Videogame,3.06
Animal Crossing: Happy Home Designer,3.05
The Sims 4,3.05
Borderlands 2,3.05
LEGO Batman: The Videogame,3.05
Kung Fu Panda,3.04
Mass Effect 3,3.04
Heavy Rain,3.03
Rayman,3.03
Saints Row 2,3.03
Tom Clancy's Splinter Cell,3.02
Mike Tyson's Punch-Out!!,3.02
WWE SmackDown! Shut Your Mouth,3.02
FIFA 14,3.01
Killzone 2,3.01
Far Cry 3,3.0
Epic Mickey,3.0
NBA 2K13,3.0
Dragon Ball Z: Budokai Tenkaichi 3,3.0
wwe Smackdown vs. Raw 2006,3.0
Star Fox,2.99
The Sims: Livin Large,2.99
World Soccer Winning Eleven 6 International,2.99
Devil May Cry,2.99
Star Wars: The Old Republic,2.96
Middle-Earth: Shadow of Mordor,2.96
Sonic Heroes,2.96
Hitman 2: Silent Assassin,2.96
Titanfall,2.95
Battlefield: Bad Company 2,2.95
Wave Race 64,2.94
SOCOM II: U.S. Navy SEALs,2.94
WWE SmackDown! vs. RAW 2006,2.94
Pac-Man Collection,2.94
Street Fighter IV,2.94
inFAMOUS,2.93
Kirby Super Star Ultra,2.92
Call of Duty: Ghosts,2.92
FIFA 15,2.92
Super Mario World 2: Yoshi's Island,2.91
Mass Effect,2.91
Sonic Mega Collection Plus,2.9
World Soccer Winning Eleven 7 International,2.9
Sega Superstars Tennis,2.89
Hot Shots Golf 3,2.89
Cooking Mama: Cook Off,2.89
Call of Duty: Finest Hour,2.89
WarioWare: Smooth Moves,2.89
Syphon Filter,2.88
Imagine: Babyz,2.87
Colin McRae Rally,2.87
Madden NFL 13,2.86
The Elder Scrolls III: Morrowind,2.86
Assassin's Creed IV: Black Flag,2.85
Command & Conquer: Red Alert,2.85
F-Zero,2.85
Yoshi's Story,2.85
Mortal Kombat,2.84
Madden NFL 10,2.83
WWE SmackDown! vs. Raw,2.83
BioShock,2.83
Metroid Prime,2.82
Assassin's Creed: Brotherhood,2.82
Finding Nemo,2.82
Zumba Fitness 2,2.81
Myst,2.81
Medal of Honor,2.81
Need for Speed: Most Wanted,2.81
Imagine: Fashion Designer,2.8
WWE SmackDown! Here Comes the Pain,2.8
Hot Shots Golf,2.79
A Bug's Life,2.79
WWF SmackDown! Just Bring It,2.79
inFAMOUS: Second Son,2.79
Dragon Quest V: Tenkuu no Hanayome,2.79
Mortal Kombat Trilogy,2.79
Monster Hunter Tri,2.79
NBA Street,2.79
Jak II,2.78
Ratchet & Clank: Going Commando,2.78
Need for Speed: Hot Pursuit,2.78
Skylanders: Spyro's Adventure,2.78
Battlefield 3,2.78
Mortal Kombat X,2.78
The Sims,2.77
Killzone 3,2.77
Star Wars: The Force Unleashed,2.77
Minecraft,2.76
Yoshi's Island DS,2.76
Saints Row: The Third,2.76
Missile Command,2.76
Mario Paint,2.75
Tekken 6,2.75
Pokémon Stadium 2,2.73
Metroid,2.73
Sonic and the Secret Rings,2.73
FIFA 16,2.71
The Legend of Zelda: A Link to the Past,2.7
Onimusha: Warlords,2.7
Mario Party,2.7
L.A. Noire,2.7
Call of Duty 3,2.7
Madden NFL 12,2.69
LEGO Star Wars II: The Original Trilogy,2.69
